Bildname,fenster_id,u,v
20250614_204923,0,538,422
20250614_204923,0,537,446
20250614_204923,0,541,448
20250614_204923,0,641,446
20250614_204923,0,641,422
20250614_204923,1,302,398
20250614_204923,1,300,464
20250614_204923,1,341,464
20250614_204923,1,344,400
20250614_204923,2,541,296
20250614_204923,2,541,323
20250614_204923,2,644,327
20250614_204923,2,645,306
20250614_204923,2,640,302
20250614_204923,3,893,457
20250614_204923,3,894,490
20250614_204923,3,968,489
20250614_204923,3,967,455
20250614_204923,4,895,389
20250614_204923,4,894,490
20250614_204923,4,967,489
20250614_204923,4,972,394
20250614_204923,5,908,440
20250614_204923,5,908,453
20250614_204923,5,927,453
20250614_204923,5,927,440
20250614_204923,5,926,439
20250614_204923,5,909,439
20250614_204923,6,840,436
20250614_204923,6,839,460
20250614_204923,6,843,465
20250614_204923,6,840,472
20250614_204923,6,840,492
20250614_204923,6,842,494
20250614_204923,6,861,493
20250614_204923,6,862,437
20250614_204923,7,909,390
20250614_204923,7,909,402
20250614_204923,7,919,402
20250614_204923,7,920,403
20250614_204923,7,927,403
20250614_204923,7,928,402
20250614_204923,7,928,390
20250614_204923,7,915,390
20250614_204923,7,914,389
20250614_204923,8,475,292
20250614_204923,8,476,314
20250614_204923,8,521,317
20250614_204923,8,523,314
20250614_204923,8,522,294
20250614_204923,8,479,290
20250614_204923,9,562,429
20250614_204923,9,563,444
20250614_204923,9,614,443
20250614_204923,9,614,429
20250614_204923,9,611,428
20250614_204923,10,415,287
20250614_204923,10,414,309
20250614_204923,10,461,313
20250614_204923,10,464,310
20250614_204923,10,464,290
20250614_204923,11,786,314
20250614_204923,11,785,337
20250614_204923,11,826,339
20250614_204923,11,828,337
20250614_204923,11,828,317
20250614_204923,12,471,442
20250614_204923,12,515,443
20250614_204923,12,520,441
20250614_204923,12,520,421
20250614_204923,12,518,419
20250614_204923,12,472,419
20250614_204923,13,798,461
20250614_204923,13,798,490
20250614_204923,13,800,493
20250614_204923,13,810,492
20250614_204923,13,814,496
20250614_204923,13,826,492
20250614_204923,13,833,494
20250614_204923,13,836,498
20250614_204923,13,839,497
20250614_204923,13,839,471
20250614_204923,13,842,466
20250614_204923,13,839,462
20250614_204923,14,707,425
20250614_204923,14,706,447
20250614_204923,14,709,449
20250614_204923,14,766,449
20250614_204923,14,766,425
20250614_204923,15,750,462
20250614_204923,15,753,467
20250614_204923,15,755,493
20250614_204923,15,766,493
20250614_204923,15,770,497
20250614_204923,15,785,493
20250614_204923,15,789,497
20250614_204923,15,792,496
20250614_204923,15,796,486
20250614_204923,15,797,464
20250614_204923,15,794,461
20250614_204923,15,754,459
20250614_204923,16,782,428
20250614_204923,16,782,449
20250614_204923,16,822,450
20250614_204923,16,825,448
20250614_204923,16,824,426
20250614_204923,16,784,425
20250614_204923,17,565,306
20250614_204923,17,564,318
20250614_204923,17,566,321
20250614_204923,17,610,325
20250614_204923,17,617,323
20250614_204923,17,617,310
20250614_204923,18,750,462
20250614_204923,18,756,494
20250614_204923,18,791,497
20250614_204923,18,794,493
20250614_204923,18,809,493
20250614_204923,18,815,497
20250614_204923,18,829,493
20250614_204923,18,839,498
20250614_204923,18,842,466
20250614_204923,18,837,461
20250614_204923,18,754,459
20250614_204923,19,662,312
20250614_204923,19,664,330
20250614_204923,19,768,334
20250614_204923,19,769,313
20250614_204923,19,670,305
20250614_204923,19,665,305
20250614_204923,20,620,429
20250614_204923,20,620,433
20250614_204923,20,619,434
20250614_204923,20,619,442
20250614_204923,20,620,444
20250614_204923,20,622,445
20250614_204923,20,638,445
20250614_204923,20,639,443
20250614_204923,20,639,429
20250614_204923,20,637,428
20250614_204923,20,621,428
20250614_204923,21,415,296
20250614_204923,21,415,304
20250614_204923,21,414,305
20250614_204923,21,416,307
20250614_204923,21,435,308
20250614_204923,21,437,306
20250614_204923,21,437,297
20250614_204923,21,435,296
20250614_204923,21,426,296
20250614_204923,21,425,295
20250614_204923,21,416,295
20250614_204923,22,706,431
20250614_204923,22,706,445
20250614_204923,22,742,445
20250614_204923,22,742,431
20250614_204923,22,711,429
20250614_204923,23,746,432
20250614_204923,23,746,445
20250614_204923,23,748,446
20250614_204923,23,763,446
20250614_204923,23,764,445
20250614_204923,23,764,431
20250614_204923,23,761,431
20250614_204923,23,760,430
20250614_204923,23,752,430
20250614_204923,24,749,318
20250614_204923,24,748,320
20250614_204923,24,748,331
20250614_204923,24,750,333
20250614_204923,24,756,333
20250614_204923,24,757,334
20250614_204923,24,764,334
20250614_204923,24,766,333
20250614_204923,24,766,321
20250614_204923,24,764,319
20250614_204923,25,809,323
20250614_204923,25,809,335
20250614_204923,25,810,336
20250614_204923,25,824,336
20250614_204923,25,825,334
20250614_204923,25,825,324
20250614_204923,25,824,323
20250614_204923,25,821,323
20250614_204923,25,820,322
20250614_204923,25,810,322
20250614_204923,26,682,315
20250614_204923,26,682,328
20250614_204923,26,727,332
20250614_204923,26,744,331
20250614_204923,26,744,318
20250614_204923,27,659,423
20250614_204923,27,658,448
20250614_204923,27,662,447
20250614_204923,27,661,433
20250614_204923,27,664,430
20250614_204923,27,671,430
20250614_204923,27,678,436
20250614_204923,27,680,449
20250614_204923,27,691,449
20250614_204923,27,690,423
20250614_204923,27,663,421
20250614_204923,28,909,407
20250614_204923,28,909,418
20250614_204923,28,910,419
20250614_204923,28,924,419
20250614_204923,28,925,420
20250614_204923,28,927,419
20250614_204923,28,927,407
20250614_204923,28,925,407
20250614_204923,28,924,406
20250614_204923,28,910,406
20250614_204923,29,622,310
20250614_204923,29,622,317
20250614_204923,29,621,318
20250614_204923,29,622,325
20250614_204923,29,624,326
20250614_204923,29,632,326
20250614_204923,29,633,327
20250614_204923,29,639,327
20250614_204923,29,641,326
20250614_204923,29,642,323
20250614_204923,29,642,312
20250614_204923,29,641,310
20250614_204923,29,631,310
20250614_204923,29,630,309
20250614_204923,29,624,309
20250614_204923,30,441,297
20250614_204923,30,440,306
20250614_204923,30,442,309
20250614_204923,30,456,310
20250614_204923,30,457,311
20250614_204923,30,461,311
20250614_204923,30,463,309
20250614_204923,30,463,298
20250614_204923,30,462,297
20250614_204923,30,445,297
20250614_204923,30,444,296
20250614_204923,31,894,390
20250614_204923,31,894,453
20250614_204923,31,968,453
20250614_204923,31,970,393
